F1	F2	VOWEL	UVULAR	PHONEME
650.	1530.	a	0	a
780.	1620.	a	0	a
800.	1610.	a	0	a
860.	1430.	a	0	a
745.	1673.	a	0	a
560.	1680.	a	0	a
680.	1670.	a	0	a
905.	1323.	a	0	a
739.	1380.	a	0	a
829.	1450.	a	0	a
810.	1502.	a	0	a
600.	1720.	a	0	a
540.	1730.	a	0	a
960.	1648.	a	0	a
548.	1685.	a	0	a
840.	1280.	a	0	a
696.	1730.	a	0	a
730.	1548.	a	0	a
850.	1340.	a	0	a
770.	1730.	a	0	a
665.	1410.	a	0	a
820.	1420.	a	0	a
560.	1440.	a	0	a
700.	1330.	a	0	a
660.	1675.	a	0	a
687.	1710.	a	0	a
573.	1220.	a	0	a
550.	1520.	a	0	a
530.	1400.	a	0	a
575.	1390.	a	0	a
620.	1550.	a	0	a
540.	1340.	a	0	a
630.	1630.	a	0	a
650.	1320.	a	0	a
600.	1670.	a	0	a
830.	1460.	A	1	a
880.	1317.	A	1	a
850.	1440.	A	1	a
820.	1455.	A	1	a
807.	1565.	A	1	a
740.	1800.	A	1	a
810.	1400.	A	1	a
710.	1580.	A	1	a
720.	1412.	A	1	a
740.	1420.	A	1	a
620.	1350.	A	1	a
835.	1340.	A	1	a
693.	1295.	A	1	a
480.	1040.	A	1	a
810.	1368.	A	1	a
465.	2080.	A	1	a
750.	1530.	A	1	a
740.	1233.	A	1	a
830.	1345.	A	1	a
785.	1740.	A	1	a
874.	1413.	A	1	a
770.	1306.	A	1	a
660.	1580.	A	1	a
693.	1670.	A	1	a
780.	1275.	A	1	a
860.	1395.	A	1	a
920.	1391.	A	1	a
756.	1259.	A	1	a
425.	1960.	i	0	i
364.	2270.	i	0	i
574.	1718.	i	0	i
427.	2355.	i	0	i
402.	2330.	i	0	i
485.	1924.	i	0	i
390.	2425.	i	0	i
403.	2301.	i	0	i
403.	2050.	i	0	i
418.	2380.	i	0	i
393.	2431.	i	0	i
402.	2340.	i	0	i
306.	1800.	i	0	i
480.	2380.	i	0	i
396.	2002.	i	0	i
418.	2450.	i	0	i
409.	2088.	i	0	i
349.	2265.	i	0	i
474.	2025.	i	0	i
513.	1908.	i	0	i
402.	2020.	i	0	i
406.	2225.	i	0	i
450.	2312.	i	0	i
416.	2577.	i	0	i
424.	2320.	i	0	i
499.	2257.	i	0	i
447.	2220.	i	0	i
481.	2448.	i	0	i
421.	2241.	i	0	i
500.	1960.	i	0	i
549.	1900.	i	0	i
430.	2040.	i	0	i
470.	2340.	i	0	i
482.	2227.	i	0	i
423.	2211.	i	0	i
430.	2050.	i	0	i
456.	2091.	i	0	i
452.	1950.	i	0	i
465.	2130.	i	0	i
467.	2241.	i	0	i
462.	2316.	i	0	i
450.	1955.	i	0	i
400.	2250.	i	0	i
370.	2312.	i	0	i
514.	2340.	i	0	i
400.	2105.	i	0	i
500.	1818.	i	0	i
425.	2560.	i	0	i
435.	2222.	i	0	i
402.	2042.	i	0	i
466.	2335.	i	0	i
520.	2040.	i	0	i
380.	2340.	i	0	i
460.	2220.	i	0	i
445.	2460.	i	0	i
402.	2060.	i	0	i
420.	2000.	i	0	i
402.	2312.	i	0	i
402.	2222.	i	0	i
350.	2076.	i	0	i
360.	2400.	i	0	i
340.	2520.	i	0	i
500.	1860.	i	0	i
536.	1773.	i	0	i
424.	2480.	i	0	i
380.	2170.	i	0	i
447.	2155.	i	0	i
424.	2356.	i	0	i
430.	2165.	i	0	i
415.	2250.	i	0	i
470.	1960.	i	0	i
384.	1585.	i	0	i
539.	1843.	e	0	i
522.	1915.	e	0	i
570.	1730.	e	1	i
500.	1890.	e	1	i
543.	1710.	e	1	i
465.	1650.	e	1	i
522.	1765.	e	1	i
547.	1715.	e	1	i
560.	1747.	e	1	i
600.	1680.	e	1	i
500.	1910.	e	1	i
547.	1727.	e	1	i
540.	1940.	e	1	i
600.	1773.	e	1	i
494.	1905.	e	1	i
520.	1900.	e	1	i
530.	1800.	e	1	i
540.	1800.	e	1	i
424.	2245.	e	1	i
581.	1620.	e	1	i
546.	1313.	o	1	u
433.	1054.	u	0	u
469.	1042.	o	1	u
508.	1118.	o	1	u
493.	1209.	u	0	u
531.	1192.	o	1	u
510.	877.	u	0	u
512.	1609.	u	0	u
512.	1014.	u	0	u
583.	1018.	o	1	u
518.	999.	o	1	u
479.	1182.	o	1	u
