"X1" "X2" "C" "S1"
870.73587836061 1548.31234441559 "a" "a 0"
652.778264466933 1652.62446771481 "a" "a 0"
740.061717042754 1391.11921795039 "a" "a 0"
556.735766318106 1343.13189834136 "a" "a 0"
520.666481879428 1734.9947146582 "a" "a 0"
866.684929922056 1532.50977766022 "a" "a 0"
524.381167218326 1348.60259230582 "a" "a 0"
786.9209115809 1733.06822906417 "a" "a 0"
669.003294354529 1617.59752893065 "a" "a 0"
682.293297074966 1353.8756357559 "a" "a 0"
849.468715600318 1531.93301625465 "a" "a 0"
562.101604256572 1802.65783820433 "a" "a 0"
661.751180063005 1680.10231739801 "a" "a 0"
513.658670289528 1363.08480754904 "a" "a 0"
634.578263469156 1574.0815971487 "a" "a 0"
801.26546272442 1481.52001469188 "a" "a 0"
553.999535248385 1293.5896596895 "a" "a 0"
614.392761525 1776.08790744892 "a" "a 0"
781.71743864019 1317.58800434958 "a" "a 0"
717.915697578048 1731.97935965824 "a" "a 0"
1031.33087888789 1282.82262654188 "a" "a 0"
801.825914953723 1537.21739894527 "a" "a 0"
460.576732411172 1661.86138365927 "a" "a 0"
510.252633645616 1514.96278197203 "a" "a 0"
795.744931474346 1595.80426331036 "a" "a 0"
653.728050462558 1506.37406264167 "a" "a 0"
878.548618474032 1295.22482836294 "a" "a 0"
876.185943664818 1547.83227032539 "a" "a 0"
567.535660165723 1403.35295030248 "a" "a 0"
779.003690497739 1429.46887612191 "a" "a 0"
779.771016716847 1541.30865413109 "a" "a 0"
643.666781493808 1664.55471158087 "a" "a 0"
948.783416310664 1321.61991684389 "a" "a 0"
696.049386600039 1425.48906442705 "a" "a 0"
870.994804824169 1647.64531196259 "a" "a 0"
638.83549932275 1545.69605827254 "a" "a 0"
734.815166196298 1706.27117076894 "a" "a 0"
696.538937837639 1536.74173350096 "a" "a 0"
552.273487061714 1551.69201402562 "a" "a 0"
513.803987272379 1561.50325512659 "a" "a 0"
657.229361280547 1815.12342913322 "a" "a 0"
503.112267623712 1407.67624762526 "a" "a 0"
947.183128676482 1652.11102964209 "a" "a 0"
838.427554278896 1449.6185996573 "a" "a 0"
576.066204577674 1463.59187824382 "a" "a 0"
871.283741085037 1331.71278027493 "a" "a 0"
778.838652372566 1213.96088497344 "a" "a 0"
473.443860135167 1715.26966451876 "a" "a 0"
888.86880541358 1410.91358531367 "a" "a 0"
899.786100572338 1458.7493479714 "a" "a 0"
866.717039173072 1475.99816310164 "a" "a 0"
907.542657499465 1352.55949653665 "a" "a 0"
778.733473897876 1314.90135542227 "a" "a 0"
472.413895009536 1458.68796122722 "a" "a 0"
887.047868756896 1683.00540455511 "a" "a 0"
692.678425761467 1711.75648655636 "a" "a 0"
1023.52585275769 1307.25799631442 "a" "a 0"
1060.43285425828 1362.72554001841 "a" "a 0"
623.377123381489 1504.78976092939 "a" "a 0"
544.816376614767 1277.3604561848 "a" "a 0"
763.70194652327 1536.68593797007 "a" "a 0"
891.174160161373 1335.1011945285 "a" "a 0"
872.784258714363 1649.21165056333 "a" "a 0"
608.672335921739 1734.60777744778 "a" "a 0"
783.596143092058 1492.7174306514 "a" "a 0"
728.27816079891 1239.3350843987 "a" "a 0"
592.097945793872 1296.1064919644 "a" "a 0"
470.592378360125 1455.69610040388 "a" "a 0"
816.424451788379 1300.1661670734 "a" "a 0"
928.542767983035 1383.41210421121 "a" "a 0"
936.684102134742 1293.97579961124 "a" "a 0"
951.722277566881 1593.59250692634 "a" "a 0"
544.39454745324 1411.76479221309 "a" "a 0"
498.739548613651 1149.38007737022 "a" "a 0"
723.45223163336 1692.97781510715 "a" "a 0"
684.823434416538 1330.31946196894 "a" "a 0"
547.232102479441 1536.65231945812 "a" "a 0"
853.877975962843 1341.45654795714 "a" "a 0"
726.4164124481 1661.29219821646 "a" "a 0"
770.706540833056 1451.07785252438 "a" "a 0"
634.115909545074 1519.40716300469 "a" "a 0"
557.672421494872 1317.59779172947 "a" "a 0"
602.84552805493 1552.30240364475 "a" "a 0"
839.984968874916 1529.11303290825 "a" "a 0"
732.328446168269 1681.03286507011 "a" "a 0"
763.33548318427 1368.77782820195 "a" "a 0"
776.795863164193 1373.84043040298 "a" "a 0"
790.584440957637 1350.88202517077 "a" "a 0"
833.13312260603 1479.47277044412 "a" "a 0"
623.740030304889 1528.33862606177 "a" "a 0"
576.209947888745 1625.21917638548 "a" "a 0"
744.678504395855 1320.47318413425 "a" "a 0"
548.942404528201 1289.98746426494 "a" "a 0"
743.642973316622 1468.94261060872 "a" "a 0"
691.760719330262 1722.74977933471 "a" "a 0"
898.034977768067 1359.22888220703 "a" "a 0"
657.403441738771 1539.38494859122 "a" "a 0"
532.489325348903 1209.65923039937 "a" "a 0"
581.023491793831 1763.51231687746 "a" "a 0"
516.629305449445 1595.64240095261 "a" "a 0"
727.554021077265 1554.52737199137 "a" "a 0"
557.820092137139 1312.6825660587 "a" "a 0"
549.003015265292 1587.29956977771 "a" "a 0"
766.234330780549 1676.48808517423 "a" "a 0"
931.30747025873 1339.56078129497 "a" "a 0"
469.946886668751 1338.45802854212 "a" "a 0"
591.133137386179 1719.27470586093 "a" "a 0"
936.460259232053 1328.36297444808 "a" "a 0"
499.965555616295 1298.91157479945 "a" "a 0"
574.786354172566 1478.26160433752 "a" "a 0"
557.112993520189 1487.68549426448 "a" "a 0"
801.66179276955 1286.50827040466 "a" "a 0"
822.174172321469 1292.6054997451 "a" "a 0"
705.885382205986 1787.39397473963 "a" "a 0"
618.181349478069 1477.18902005153 "a" "a 0"
578.160752772035 1436.88099302283 "a" "a 0"
608.847149208846 1369.86421379633 "a" "a 0"
483.269810942039 1748.35686295531 "a" "a 0"
645.583676052489 1479.11990640802 "a" "a 0"
839.370130848904 1497.96020833458 "a" "a 0"
715.486362513496 1666.43418627637 "a" "a 0"
836.744708730179 1318.52399475502 "a" "a 0"
871.92795047458 1339.99387049738 "a" "a 0"
770.225115546515 1580.15161993963 "a" "a 0"
576.47343142236 1448.05326920345 "a" "a 0"
569.084814849424 1613.18013637012 "a" "a 0"
794.593448662087 1567.72850259305 "a" "a 0"
403.210059260501 1426.55809768648 "a" "a 0"
610.631080770154 1634.37671768015 "a" "a 0"
928.575703104693 1244.05831264704 "a" "a 0"
550.19071965506 1523.72870129093 "a" "a 0"
714.478245414517 1544.66711603469 "a" "a 0"
771.126537444537 1477.34536207155 "a" "a 0"
617.645925862335 1349.23841556997 "a" "a 0"
466.721481585161 1362.74133302814 "a" "a 0"
676.200139777466 1465.43961967225 "a" "a 0"
527.77138502495 1597.7996334816 "a" "a 0"
573.368557430562 1670.81336255563 "a" "a 0"
669.486552510086 1641.41288529933 "a" "a 0"
650.969822848082 1655.03203008023 "a" "a 0"
436.939040993504 1616.08698595573 "a" "a 0"
735.234861731349 1561.31684064817 "a" "a 0"
724.288040164788 1406.14231220125 "a" "a 0"
540.464113790642 1265.56961392145 "a" "a 0"
598.181768396734 1685.00483825109 "a" "a 0"
526.739011331849 1666.1638724033 "a" "a 0"
675.172804734444 1704.18434751331 "a" "a 0"
625.73104336518 1553.63300462897 "a" "a 0"
921.421004136003 1343.50275961807 "a" "a 0"
582.903460679175 1485.19967698019 "a" "a 0"
635.8019204864 1725.39981291131 "a" "a 0"
692.735901816132 1477.18647696647 "a" "a 0"
639.381643096209 1780.50808304315 "a" "a 0"
630.123442096745 1605.44697882327 "a" "a 0"
582.340628438273 1565.1409014522 "a" "a 0"
822.730491486353 1459.20956595242 "a" "a 0"
553.751709965586 1119.51298743619 "a" "a 0"
645.17383769602 1564.9962659827 "a" "a 0"
601.057704631831 1459.28414652378 "a" "a 0"
624.063330194205 1716.14225027767 "a" "a 0"
594.292785687658 1381.60359106299 "a" "a 0"
675.179476260945 1701.55130015259 "a" "a 0"
771.303013670753 1718.48655221124 "a" "a 0"
889.0375571055 1362.27489951094 "a" "a 0"
736.290970518767 1495.61467907532 "a" "a 0"
668.25615377402 1714.30949452885 "a" "a 0"
901.23046515429 1424.8516251393 "a" "a 0"
766.81111187119 1671.7879409489 "a" "a 0"
600.308246026898 1503.57529152518 "a" "a 0"
757.36953384227 1572.16018526215 "a" "a 0"
889.791568888275 1499.34130874712 "a" "a 0"
528.790408453243 1629.06112611978 "a" "a 0"
627.583467479109 1512.45767789137 "a" "a 0"
443.401003863183 1372.15663911751 "a" "a 0"
780.33716980031 1743.13426392605 "a" "a 0"
708.97823728013 1558.63136164457 "a" "a 0"
799.03856650203 1438.34295858691 "a" "a 0"
560.415161694813 1450.5829692941 "a" "a 0"
542.019378229542 1321.55212389462 "a" "a 0"
677.262684074586 1500.53397639252 "a" "a 0"
688.758831737761 1630.92658976173 "a" "a 0"
650.383241460291 1772.09812702252 "a" "a 0"
560.514333488288 1256.29530101701 "a" "a 0"
825.87644397863 1600.1090622588 "a" "a 0"
662.893585266498 1556.95811241524 "a" "a 0"
721.939272880863 1408.17225064852 "a" "a 0"
970.951185178252 1349.6289504299 "a" "a 0"
913.105532417847 1705.54768644614 "a" "a 0"
756.07467128732 1603.478748999 "a" "a 0"
748.875944022141 1713.79049386836 "a" "a 0"
863.765911300421 1340.83387755639 "a" "a 0"
705.396836859138 1728.30156113116 "a" "a 0"
596.688006895966 1496.88096717746 "a" "a 0"
1008.6096469803 1367.71169421371 "a" "a 0"
594.891253943424 1578.59351314868 "a" "a 0"
659.759209592192 1328.94184325801 "a" "a 0"
625.672121139557 1229.53898832412 "a" "a 0"
618.544303027935 1633.3521134922 "a" "a 0"
545.759116254767 1574.2558792519 "a" "a 0"
760.793710530357 1405.16407331108 "a" "a 0"
687.218608302196 1735.66116378892 "a" "a 0"
794.966401317878 1182.13222069117 "a" "a 0"
662.129048448716 1731.09765224997 "a" "a 0"
596.246296986483 1654.76733272389 "a" "a 0"
538.254483195238 1356.30381978119 "a" "a 0"
711.474744435947 1432.99884625065 "a" "a 0"
573.149499921656 1220.63153119933 "a" "a 0"
659.076694348495 1638.78405787766 "a" "a 0"
815.949564896694 1353.64455959897 "a" "a 0"
526.691240107504 1322.52449306049 "a" "a 0"
481.397230594432 1548.25558318299 "a" "a 0"
589.302397238555 1271.54050464476 "a" "a 0"
877.916460128394 1172.55704621422 "a" "a 0"
687.28625767853 1555.52081178427 "a" "a 0"
501.175550747056 1452.55133582364 "a" "a 0"
632.466211864456 1527.56715446996 "a" "a 0"
535.969714852241 1526.48295806643 "a" "a 0"
869.285626585954 1586.64995199669 "a" "a 0"
981.870178780138 1719.76475302651 "a" "a 0"
732.963067553831 1568.20511941977 "a" "a 0"
631.879014808305 1429.62038254827 "a" "a 0"
689.857699979844 1460.83757459285 "a" "a 0"
700.973190336104 1622.40815136968 "a" "a 0"
958.330656486481 1567.85153396804 "a" "a 0"
958.747472957426 1253.57535232046 "a" "a 0"
827.687776544877 1373.88970340692 "a" "a 0"
502.63934559682 1433.61490391219 "a" "a 0"
629.368875274406 1546.26104451548 "a" "a 0"
633.54144408319 1522.55730994584 "a" "a 0"
562.454030526616 1799.81702939779 "a" "a 0"
572.572767638027 1311.815854481 "a" "a 0"
661.828692203841 1647.5958810729 "a" "a 0"
518.55139574533 1229.82941188233 "a" "a 0"
697.481591223692 1551.62506903363 "a" "a 0"
810.87280998147 1409.27658901497 "a" "a 0"
696.04638276274 1583.93181666134 "a" "a 0"
781.909471534022 1452.26808778711 "a" "a 0"
640.066975187317 1251.61478688303 "a" "a 0"
618.851738594503 1649.89833722346 "a" "a 0"
684.450520708988 1802.2384850464 "a" "a 0"
536.856786853552 1742.45184827305 "a" "a 0"
847.034157077148 1351.59899414143 "a" "a 0"
769.212646662857 1758.25730311469 "a" "a 0"
564.989898073223 1628.33733272081 "a" "a 0"
577.172205451687 1652.41592673745 "a" "a 0"
658.139216292269 1625.55815942374 "a" "a 0"
802.279419513672 1816.6100468684 "a" "a 0"
608.209316325384 1223.72592861354 "a" "a 0"
721.284304910638 1443.74431311898 "a" "a 0"
885.508258745206 1421.49956049947 "a" "a 0"
728.549903294517 1408.56812891245 "a" "a 0"
563.70546602534 1736.90969609365 "a" "a 0"
657.716707532924 1193.02650471095 "a" "a 0"
682.814449759679 1709.90524447622 "a" "a 0"
538.250201847052 1532.06489513372 "a" "a 0"
915.323534697067 1326.34075768493 "a" "a 0"
758.943870750288 1806.25441672152 "a" "a 0"
633.546247142413 1769.59991864419 "a" "a 0"
613.411718679653 1182.48092743901 "a" "a 0"
545.258313924745 1647.93605998831 "a" "a 0"
512.610822290208 1650.9535288243 "a" "a 0"
797.123382812878 1402.60953908566 "a" "a 0"
545.754169504953 1394.81306907675 "a" "a 0"
558.607249422661 1662.68140533171 "a" "a 0"
860.219897397976 1299.96942675881 "a" "a 0"
771.44211032595 1507.57808725669 "a" "a 0"
750.94125692958 1650.66552156249 "a" "a 0"
733.75024798934 1437.20541398517 "a" "a 0"
660.381149042598 1354.55326394029 "a" "a 0"
662.291114890484 1325.58460920458 "a" "a 0"
647.7671752344 1407.91807432615 "a" "a 0"
738.935010265288 1495.04505672803 "a" "a 0"
551.270925938326 1580.11305554746 "a" "a 0"
627.641555425752 1695.94703827177 "a" "a 0"
592.394336362529 1543.63029718816 "a" "a 0"
684.225448682586 1671.01729205177 "a" "a 0"
665.153704662126 1759.49650589949 "a" "a 0"
614.847094969102 1408.71796421407 "a" "a 0"
779.986168886618 1817.21930823908 "a" "a 0"
658.420668377782 1200.52912086063 "a" "a 0"
673.599546873774 1535.15777666221 "a" "a 0"
844.108423314613 1501.33771870535 "a" "a 0"
680.879330794368 1425.9380264413 "a" "a 0"
945.32026184458 1654.17315133797 "a" "a 0"
917.448269296107 1516.11779921378 "a" "a 0"
558.03698585984 1436.33050635738 "a" "a 0"
513.014225286178 1441.36626877273 "a" "a 0"
509.76923444474 1746.6451722969 "a" "a 0"
612.589855247646 1496.11274186734 "a" "a 0"
771.259367813531 1476.06791068573 "a" "a 0"
592.362114336544 1398.67519915623 "a" "a 1"
586.546095581293 1448.41389435364 "a" "a 1"
665.407444924159 1809.24598276197 "a" "a 1"
772.874758777433 1663.20152971527 "a" "a 1"
693.018027523033 1461.19370247520 "a" "a 1"
625.36856373303 1558.78900587913 "a" "a 1"
784.21861481349 1915.68289523382 "a" "a 1"
731.971994934812 1515.50922540518 "a" "a 1"
828.889972654252 1636.52218423439 "a" "a 1"
708.856073509757 1529.44460859832 "a" "a 1"
642.461675112414 1428.18583375880 "a" "a 1"
535.44739469586 1681.22666958418 "a" "a 1"
825.069871857325 1540.82042901140 "a" "a 1"
719.12317180718 1605.23353740980 "a" "a 1"
531.463373548756 1574.23280164117 "a" "a 1"
721.631286022278 1494.31003172196 "a" "a 1"
742.434337399304 1580.62928449135 "a" "a 1"
780.01645533503 1408.69556148868 "a" "a 1"
523.030388509052 1532.32202307221 "a" "a 1"
519.610146364045 1433.70763886859 "a" "a 1"
642.808164463012 1631.38418623340 "a" "a 1"
608.233372390286 1507.38422614170 "a" "a 1"
721.49641256248 1435.49866925581 "a" "a 1"
605.470312286092 1911.33316201955 "a" "a 1"
672.15290677851 1499.02305832409 "a" "a 1"
842.268119990853 1583.62988251455 "a" "a 1"
638.145335473235 1323.61042132628 "a" "a 1"
701.522385804888 2070.48398983201 "a" "a 1"
793.064771130021 1669.61154830812 "a" "a 1"
739.932170305766 1517.33231078974 "a" "a 1"
579.360661702453 1830.60523225655 "a" "a 1"
737.872381479707 1553.07106995298 "a" "a 1"
637.718705653665 1496.10691173865 "a" "a 1"
749.576669876412 1564.88078734476 "a" "a 1"
598.598561106747 1786.72266086458 "a" "a 1"
828.479063016012 1535.64561539908 "a" "a 1"
369.270961613926 2172.04066183088 "a" "a 1"
701.131767303903 1982.99635686422 "a" "a 1"
779.102931913814 1617.04394206054 "a" "a 1"
422.646783862264 1280.57078330376 "a" "a 1"
377.384147358704 1228.86748046811 "a" "a 1"
710.477115435374 1564.78013010440 "a" "a 1"
776.469203208954 1482.61333086220 "a" "a 1"
647.465957912346 1904.29433199138 "a" "a 1"
879.924757957174 1566.18613500961 "a" "a 1"
819.37137494977 1667.38674050462 "a" "a 1"
619.14559851206 1524.02724770154 "a" "a 1"
645.240543836565 1811.97369826217 "a" "a 1"
620.905921296215 1911.36299955840 "a" "a 1"
623.322088589399 1589.48798048643 "a" "a 1"
738.85539891423 1583.02873558357 "a" "a 1"
692.799627761432 1661.80073069106 "a" "a 1"
573.040406083524 1761.10974549158 "a" "a 1"
