"X1" "X2" "C" "S1"
650. 1530. "a" "a"
780. 1620. "a" "a"
800. 1610. "a" "a"
860. 1430. "a" "a"
745. 1673. "a" "a"
560. 1680. "a" "a"
680. 1670. "a" "a"
905. 1323. "a" "a"
739. 1380. "a" "a"
829. 1450. "a" "a"
810. 1502. "a" "a"
600. 1720. "a" "a"
540. 1730. "a" "a"
960. 1648. "a" "a"
548. 1685. "a" "a"
840. 1280. "a" "a"
696. 1730. "a" "a"
730. 1548. "a" "a"
850. 1340. "a" "a"
770. 1730. "a" "a"
665. 1410. "a" "a"
820. 1420. "a" "a"
560. 1440. "a" "a"
700. 1330. "a" "a"
660. 1675. "a" "a"
687. 1710. "a" "a"
573. 1220. "a" "a"
550. 1520. "a" "a"
530. 1400. "a" "a"
575. 1390. "a" "a"
620. 1550. "a" "a"
540. 1340. "a" "a"
630. 1630. "a" "a"
650. 1320. "a" "a"
600. 1670. "a" "a"
737..73374168179. 1834..04325468845. "a" "A"
787..73374168179. 1691..04325468845. "a" "A"
757..73374168179. 1814..04325468845. "a" "A"
727..73374168179. 1829..04325468845. "a" "A"
714..73374168179. 1939..04325468845. "a" "A"
647..733741681791. 2174..04325468845. "a" "A"
717..733741681791. 1774..04325468845. "a" "A"
617..733741681791. 1954..04325468845. "a" "A"
627..733741681791. 1786..04325468845. "a" "A"
647..733741681791. 1794..04325468845. "a" "A"
527..733741681791. 1724..04325468845. "a" "A"
742..733741681791. 1714..04325468845. "a" "A"
600..733741681791. 1669..04325468845. "a" "A"
387..733741681791. 1414..04325468845. "a" "A"
717..733741681791. 1742..04325468845. "a" "A"
372..733741681791. 2454..04325468845. "a" "A"
657..733741681791. 1904..04325468845. "a" "A"
647..733741681791. 1607..04325468845. "a" "A"
737..73374168179. 1719..04325468845. "a" "A"
692..733741681791. 2114..04325468845. "a" "A"
781..73374168179. 1787..04325468845. "a" "A"
677..73374168179. 1680..04325468845. "a" "A"
567..733741681791. 1954..04325468845. "a" "A"
600..733741681791. 2044..04325468845. "a" "A"
687..73374168179. 1649..04325468845. "a" "A"
767..733741681791. 1769..04325468845. "a" "A"
827..73374168179. 1765..04325468845. "a" "A"
663..733741681791. 1633..04325468845. "a" "A"
425. 1960. "i" "i"
364. 2270. "i" "i"
574. 1718. "i" "i"
427. 2355. "i" "i"
402. 2330. "i" "i"
485. 1924. "i" "i"
390. 2425. "i" "i"
403. 2301. "i" "i"
403. 2050. "i" "i"
418. 2380. "i" "i"
393. 2431. "i" "i"
402. 2340. "i" "i"
306. 1800. "i" "i"
480. 2380. "i" "i"
396. 2002. "i" "i"
418. 2450. "i" "i"
409. 2088. "i" "i"
349. 2265. "i" "i"
474. 2025. "i" "i"
513. 1908. "i" "i"
402. 2020. "i" "i"
406. 2225. "i" "i"
450. 2312. "i" "i"
416. 2577. "i" "i"
424. 2320. "i" "i"
499. 2257. "i" "i"
447. 2220. "i" "i"
481. 2448. "i" "i"
421. 2241. "i" "i"
500. 1960. "i" "i"
549. 1900. "i" "i"
430. 2040. "i" "i"
470. 2340. "i" "i"
482. 2227. "i" "i"
423. 2211. "i" "i"
430. 2050. "i" "i"
456. 2091. "i" "i"
452. 1950. "i" "i"
465. 2130. "i" "i"
467. 2241. "i" "i"
462. 2316. "i" "i"
450. 1955. "i" "i"
400. 2250. "i" "i"
370. 2312. "i" "i"
514. 2340. "i" "i"
400. 2105. "i" "i"
500. 1818. "i" "i"
425. 2560. "i" "i"
435. 2222. "i" "i"
402. 2042. "i" "i"
466. 2335. "i" "i"
520. 2040. "i" "i"
380. 2340. "i" "i"
460. 2220. "i" "i"
445. 2460. "i" "i"
402. 2060. "i" "i"
420. 2000. "i" "i"
402. 2312. "i" "i"
402. 2222. "i" "i"
350. 2076. "i" "i"
360. 2400. "i" "i"
340. 2520. "i" "i"
500. 1860. "i" "i"
536. 1773. "i" "i"
424. 2480. "i" "i"
380. 2170. "i" "i"
447. 2155. "i" "i"
424. 2356. "i" "i"
430. 2165. "i" "i"
415. 2250. "i" "i"
470. 1960. "i" "i"
384. 1585. "i" "i"
539. 1843. "i" "e"
522. 1915. "i" "e"
477..733741681791. 2104..04325468845. "i" "e"
407..733741681791. 2264..04325468845. "i" "e"
450..733741681791. 2084..04325468845. "i" "e"
372..733741681791. 2024..04325468845. "i" "e"
429..733741681791. 2139..04325468845. "i" "e"
454..733741681791. 2089..04325468845. "i" "e"
467..733741681791. 2121..04325468845. "i" "e"
507..733741681791. 2054..04325468845. "i" "e"
407..733741681791. 2284..04325468845. "i" "e"
454..733741681791. 2101..04325468845. "i" "e"
447..733741681791. 2314..04325468845. "i" "e"
507..733741681791. 2147..04325468845. "i" "e"
401..733741681791. 2279..04325468845. "i" "e"
427..733741681791. 2274..04325468845. "i" "e"
437..733741681791. 2174..04325468845. "i" "e"
447..733741681791. 2174..04325468845. "i" "e"
331..733741681791. 2619..04325468845. "i" "e"
488..733741681791. 1994..04325468845. "i" "e"
453..733741681791. 1687..04325468845. "u" "o"
433. 1054. "u" "u"
376..733741681791. 1416..04325468845. "u" "o"
415..733741681791. 1492..04325468845. "u" "o"
493. 1209. "u" "u"
438..733741681791. 1566..04325468845. "u" "o"
510. 877. "u" "u"
512. 1609. "u" "u"
512. 1014. "u" "u"
490..733741681791. 1392..04325468845. "u" "o"
425..733741681791. 1373..04325468845. "u" "o"
386..733741681791. 1556..04325468845. "u" "o"
456. 1466. "u" "u"
537. 1788. "u" "u"
444. 1685. "u" "u"
385. 1875. "u" "u"
454. 1193. "u" "u"
421. 1227. "u" "u"
358..733741681791. 1170..04325468845. "u" "o"
457..733741681791. 1582..04325468845. "u" "o"
325..733741681791. 1811..04325468845. "u" "o"
379..733741681791. 1635..04325468845. "u" "o"
441..733741681791. 1574..04325468845. "u" "o"
355..733741681791. 1625..04325468845. "u" "o"
395. 982. "u" "u"
505. 1124. "u" "u"
446. 1315. "u" "u"
446..733741681791. 1523..04325468845. "u" "o"
480..733741681791. 1723..04325468845. "u" "o"
320..733741681791. 1633..04325468845. "u" "o"
429. 1286. "u" "u"
464. 1238. "u" "u"
441..733741681791. 1529..04325468845. "u" "o"
405. 999. "u" "u"
500. 1290. "u" "u"
396. 1557. "u" "u"
423. 1600. "u" "u"
497. 1524. "u" "u"
478..733741681791. 1639..04325468845. "u" "o"
457. 1586. "u" "u"
483. 1064. "u" "u"
492. 1178. "u" "u"
403..733741681791. 1455..04325468845. "u" "o"
478. 1010. "u" "u"
407. 1741. "u" "u"
438. 1646. "u" "u"
414. 1029. "u" "u"
498. 900. "u" "u"
548. 1675. "u" "u"
309..733741681791. 2021..04325468845. "u" "o"
524. 1499. "u" "u"
440..733741681791. 1669..04325468845. "u" "o"
446..733741681791. 1624..04325468845. "u" "o"
490..733741681791. 1438..04325468845. "u" "o"
404. 973. "u" "u"
443..733741681791. 1539..04325468845. "u" "o"
447..733741681791. 1798..04325468845. "u" "o"
436. 996. "u" "u"
400..733741681791. 1348..04325468845. "u" "o"
454..733741681791. 1706..04325468845. "u" "o"
525. 1578. "u" "u"
537. 1194. "u" "u"
456. 1678. "u" "u"
465..733741681791. 1645..04325468845. "u" "o"
368..733741681791. 1444..04325468845. "u" "o"
419. 1015. "u" "u"
443. 1045. "u" "u"
310..733741681791. 1436..04325468845. "u" "o"
472..733741681791. 1567..04325468845. "u" "o"
482..733741681791. 1585..04325468845. "u" "o"
454..733741681791. 1599..04325468845. "u" "o"
449..733741681791. 1798..04325468845. "u" "o"
605. 1352. "u" "u"
438..733741681791. 1361..04325468845. "u" "o"
407..733741681791. 1197..04325468845. "u" "o"
377..733741681791. 1641..04325468845. "u" "o"
459. 1001. "u" "u"
372..733741681791. 1671..04325468845. "u" "o"
477..733741681791. 1597..04325468845. "u" "o"
482..733741681791. 1804..04325468845. "u" "o"
548. 1536. "u" "u"
439. 1270. "u" "u"
390..733741681791. 1760..04325468845. "u" "o"
429. 1699. "u" "u"
