VOWEL	F1	F2	F3	LEFT	RIGHT	PO-U CO-U	UV-S	UV-U	PHONEME	LONG
i	376	2096	2718	t	m	1 0	0	0	i	0
i	393	1897	2842	m	s	0 1	0	0	i	0
b	901	1391	3267	s	t	1 0	0	1	a	0
o	619	1187	3001	t	s	1 0	0	1	u	0
u	447	1055	3230	s	a	1 0	0	0	u	0
a	670	1539	3065	u	t	0 1	0	0	a	0
a	722	1670	3125	t	n	1 0	0	0	a	0
i	372	2145	2724	t	k	1 0	0	0	i	0
o	435	1087	2638	k	q	0 0	1	1	u	0
u	482	954	2746	g	l	1	0 0	0	u	0
a	841	1527	3034	l	L	1 1	0	0	a	1
u	414	924	2741	L	x	1	0 0	0	a	1
i	380	2190	2665	x	l	0 1	0	0	i	0
a	867	1564	3201	l	s	1 1	0	0	a	1
u	404	1716	2919	s	n	1 1	0	0	u	0
i	369	2070	2773	n	x	1 0	0	0	i	0
a	582	1991	3196	x	N	0 0	0	0	a	0
a	658	2043	3416	N	L	0 1	0	0	a	0
a	504	1904	2886	L	s	1 1	0	0	a	0
b	913	1372	3186	s	t	1 0	0	1	a	0
o	414	1404	2538	t	q	1 0	1	1	u	0
o	634	1246	2444	n	s	1 0	0	1	u	0
b	561	1651	2864	s	q	1 0	1	1	a	0
u	395	1040	2766	x	L	0 1	0	0	u	0
u	412	1443	2496	L	m	1 0	0	0	u	0
i	400	1961	2556	m	k	0 0	0	0	i	0
u	428	1194	2682	k	t	0 1	0	0	u	0
a	844	1454	2627	x	L	0 1	0	0	a	1
b	781	1413	3085	L	n	1 0	0	1	a	0
i	371	1910	2640	n	s	1 1	0	0	i	0
a	867	1542	3101	s	x	1 0	0	0	a	1
u	415	1122	2692	k	n	0 1	0	0	u	0
e	562	1402	3365	n	m	1 0	0	1	i	0
i	399	2095	2938	m	k	0 0	0	0	i	0
a	513	1993	2460	t	L	1 1	0	0	a	0
i	489	1751	2700	L	m	1 1	0	0	i	0
a	541	1553	2291	m	n	0 1	0	0	a	0
i	347	2326	3040	n	k	1 0	0	0	i	0
i	347	2118	2622	k	n	0 1	0	0	i	0
u	390	1073	2457	n	a	1 0	0	0	u	0
a	834	1505	3198	u	t	0 1	0	0	a	1
o	677	1152	3014	t	p	1 0	0	1	u	1
o	602	1106	3234	p	q	0 0	1	1	u	0
i	362	1979	2476	t	m	1 0	0	0	i	0
i	419	1886	2511	m	s	0 1	0	0	i	0
b	901	1292	3037	s	t	1 0	0	1	a	0
o	676	1108	3011	t	s	1 0	0	1	u	0
o	613	1130	3107	s	b	1 0	1	1	u	0
b	709	1051	3050	o	q	0 0	1	1	a	0
a	792	1539	2844	x	L	0 1	0	0	a	1
a	560	1924	3131	L	n	1 1	0	0	a	0
i	409	2324	3266	n	n	1 1	0	0	i	0
e	603	1638	3232	n	m	1 0	0	1	i	0
i	371	1538	2264	m	n	0 1	0	0	i	0
i	400	2306	3059	n	x	1 0	0	0	i	0
i	341	2148	2718	k	k	0 0	0	0	i	0
u	403	1163	2817	k	t	0 1	0	0	u	0
a	714	1536	3038	x	j	0 0	0	0	a	0
a	760	1089	2840	n	t	1 0	0	1	a	0
o	671	1163	2767	n	s	1 0	0	1	u	0
i	415	1820	2758	s	u	1 0	0	0	i	0
u	371	1053	2439	i	m	0 0	0	0	u	0
i	442	1831	2733	m	k	0 0	0	0	i	0
a	613	1733	2493	x	n	0 1	0	0	a	0
i	403	1984	2352	n	k	1 0	0	0	i	0
i	347	2219	2808	k	t	0 1	0	0	i	0
u	370	1864	3194	s	m	1 0	0	0	u	0
i	391	2019	2548	m	k	0 0	0	0	i	0
a	609	1611	2037	n	l	1 1	0	0	a	0
a	919	1603	2938	l	n	1 1	0	0	a	1
e	790	1359	3319	n	q	1 0	1	1	i	0
b	901	1190	2755	q	p	0 0	0	1	a	0
o	901	1190	2755	p	q	0 0	1	1	u	0
a	690	1585	3009	t	m	1 0	0	0	a	0
a	685	1610	3003	m	n	0 1	0	0	a	0
u	448	1328	2804	l	m	1 0	0	0	u	0
a	803	1386	3098	m	n	0 1	0	0	a	1
u	452	1273	2654	k	t	0 1	0	0	u	0
i	393	1527	2355	m	s	0 1	0	0	i	0
o	720	1138	2591	s	n	1 0	0	1	u	0
e	750	1263	3254	n	q	1 0	1	1	i	0
b	774	1167	2882	q	p	0 0	0	1	a	0
o	541	978	2967	p	q	0 0	1	1	u	0
i	359	2024	2820	x	l	0 1	0	0	i	0
o	444	984	2787	l	b	1 0	0	1	u	0
b	669	999	2885	o	s	0 0	0	1	a	0
e	700	1443	3064	n	q	1 0	1	1	i	0
b	939	1195	2682	q	L	0 0	0	1	a	0
u	440	1595	2470	l	n	1 1	0	0	u	0
i	389	2198	3428	n	l	1 1	0	0	i	0
u	442	1288	2934	l	x	1 0	0	0	u	0
o	732	1228	3051	n	s	1 0	0	1	u	0
b	788	1564	3045	s	q	1 0	1	1	a	0
a	770	1462	3224	q	L	0 1	0	0	a	0
u	349	1816	2837	L	n	1 1	0	0	u	0
a	704	1697	2970	n	t	1 1	0	0	a	1
a	586	1766	2267	n	l	1 1	0	0	a	0
b	753	1359	2903	l	q	1 0	1	1	a	0
u	603	1315	3148	q	t	0 1	0	0	u	0
a	752	1605	2946	t	t	1 1	0	0	a	1
a	517	1564	2592	m	l	0 1	0	0	a	0
i	378	2042	2876	l	L	1 1	0	0	i	0
u	450	1025	2966	L	x	1 0	0	0	u	0
a	724	1731	3092	k	N	0 0	0	0	a	0
e	780	1495	3253	N	L	0 0	0	1	i	0
u	402	1526	3035	L	s	1 1	0	0	u	0
o	694	1146	3078	s	b	1 0	1	1	u	0
b	705	1085	2532	o	m	0 0	0	1	a	0
u	397	1078	2633	m	L	0 1	0	0	u	0
u	376	1709	2635	L	x	1 0	0	0	u	0
i	346	2126	2902	t	k	1 0	0	0	i	0
i	357	2338	3214	k	s	0 1	0	0	i	0
b	861	1381	2725	s	q	1 0	1	1	a	1
a	853	1606	3029	m	n	0 1	0	0	a	1
a	665	1646	2998	m	l	0 1	0	0	a	0
i	370	2185	2807	l	L	1 1	0	0	i	0
u	400	962	2891	L	x	1 0	0	0	u	0
u	409	941	2880	x	a	0 0	0	0	u	0
a	549	1649	2671	a	l	0 1	0	0	a	0
i	386	2249	2791	l	m	1 0	0	0	i	0
u	416	1079	2612	m	t	0 1	0	0	u	0
i	355	1895	2622	p	N	0 0	0	0	i	0
a	590	1844	2726	N	s	0 1	0	0	a	0
o	549	1223	3300	s	q	1 0	1	1	u	0
a	926	1481	2633	q	N	0 0	0	0	a	0
e	560	1472	3234	N	L	0 0	0	1	i	0
u	423	1088	2864	L	t	1 1	0	0	u	0
a	612	1630	2451	t	n	1 1	0	0	a	0
