"DATA" "pF" "ppr" "pre" "pFprod" "pprprod" "preprod"
"inuk" 0.84090909090909 0.832434083273949 0.849558441558442 0.644596090003689 0.660181337363053 0.62972972972973
"inuk_12k" 0.818162154417777 0.811831208992147 0.824592617799626 0.623982112429218 0.627402708237782 0.620598612509822
"inuk_1k" 0.825192952480149 0.816436056272796 0.834139734065206 0.623966172510131 0.61695053605025 0.631143200472515
"inuk_1k_cor" 0.819856016778405 0.81659429644408 0.82314389816874 NA NA NA
"inuk_cor" 0.869079908199457 0.872630145595475 0.865558441558442 0.706257982120051 0.598614418705347 0.861102460292744
"inuk_eq_12k" 0.799820889492904 0.799008597877708 0.800634834379764 0.585202923685185 0.586205192361392 0.584204076431783
"turk" 0.639570002656888 0.624707271919844 0.655157182823399 0.479774198584746 0.390956773617058 0.620809482716787
"turk2" 0.57217632600268 0.540512736322894 0.607780505611815 0.474217230344481 0.408976619022716 0.564222994401369
"turk2_cor" 0.627346634279327 0.609670321511132 0.646078538923334 NA NA NA
"turk2_s1002" 0.691264516073923 0.689501132762876 0.693036942136233 0.598444911343248 0.536979090056105 0.675801129112003
"turk2_s1002_cor" 0.640076554958631 0.637466862483447 0.642707702637085 NA NA NA
"turk2_s1022" 0.585659985124631 0.565709894988474 0.607068614687481 0.534506810459936 0.472056068778103 0.616000737757831
"turk2_s1022_cor" 0.565375697845889 0.546547971797141 0.585546875357879 NA NA NA
"turk2_s1028" 0.639953492528839 0.615980737767133 0.665867751416715 0.567093821051391 0.510962366344282 0.637079831932773
"turk2_s1028_cor" 0.726324149424692 0.700860620508065 0.753707708240648 NA NA NA
"turk2_s1034" 0.73555705341594 0.734850452452497 0.736265014562187 0.668963400771681 0.6252094610071 0.719302219946579
"turk2_s1034_cor" 0.746914707995043 0.745249150967755 0.748587726403226 NA NA NA
"turk2_s1048_cor" 0.642451085924984 0.600239832538852 0.69104835600988 NA NA NA
"turk2_s1102_cor" 0.621890130467491 0.60460477094019 0.640192938586417 NA NA NA
"turk2_s1104_cor" 0.776881133273142 0.747753087843981 0.80837047417754 NA NA NA
"turk2_s1110_cor" 0.660413934334455 0.658467885626829 0.662371519918266 NA NA NA
"turk2_s1114_cor" 0.769182520078114 0.744782613119365 0.795235313633123 NA NA NA
"turk2_s1115" 0.582759975420323 0.551266515363517 0.618069862728304 0.520115390891409 0.465415622175611 0.589385158171212
"turk2_s1115_cor" 0.628829936179571 0.600468192477330 0.66000370378944 NA NA NA
"turk2_s1116" 0.63613961334244 0.645654272188261 0.626901306834663 0.573974958159887 0.519318824311718 0.641488990989566
"turk2_s1116_cor" 0.752463928240372 0.757832568244999 0.747170818240645 NA NA NA
"turk2_s1118" 0.593016933278139 0.569901351625482 0.618086955388041 0.487995491625502 0.451879009062637 0.530386711470225
"turk2_s1118_cor" 0.666094548651018 0.655784642037347 0.676733807192964 NA NA NA
"turk2_s1119" 0.641513126298128 0.585598024318813 0.709233398871005 0.526793815623514 0.438865987367467 0.65878241516417
"turk2_s1119_cor" 0.673452830342416 0.612385651262105 0.748048307671355 NA NA NA
"turk2_s1121" 0.635344146823066 0.556769594420885 0.739740632715563 0.486283451563262 0.387070416160337 0.653886092735286
"turk2_s1121_cor" 0.637894486265135 0.569931940479235 0.724260176459957 NA NA NA
"turk2_s1122" 0.699296802580785 0.702747249844597 0.695880072748705 0.64297522716927 0.580609656716565 0.720350961677803
"turk2_s1122_cor" 0.643743847116888 0.647574313636055 0.63995842931152 NA NA NA
"turk2_s1123" 0.584558474478306 0.532516785833965 0.647873743679875 0.501287610535684 0.421506403558528 0.618321212422012
"turk2_s1123_cor" 0.658900733146194 0.595530844653435 0.73736283282467 NA NA NA
"turk2_s1124" 0.66663853093176 0.651862043614884 0.682100466459688 0.62111818406523 0.572600596701723 0.678618914334087
"turk2_s1124_cor" 0.629042028971571 0.617804400402831 0.64069604795836 NA NA NA
"turk2_s1126" 0.56897573605486 0.537321896756582 0.604592513203545 0.406785766203159 0.351860630217409 0.482030268661813
"turk2_s1126_cor" 0.569903151568012 0.536576422167982 0.607643876280762 NA NA NA
"turk2_s1127" 0.691197433771368 0.661258401253818 0.723976061309996 0.578552766564659 0.511831988843684 0.665276015885768
"turk2_s1127_cor" 0.726363922791191 0.688586659204809 0.768526868740745 NA NA NA
"turk_eq" 0.603177439620271 0.602682706364174 0.60367298578199 NA NA NA
"turk_eq_s1002" 0.620797494046763 0.619105543336202 0.622498717948718 NA NA NA
"turk_eq_s1025" 0.584512759219675 0.577935903814366 0.591241025641026 NA NA NA
"turk_eq_s1028" 0.61726778750879 0.61557567257427 0.618969230769231 NA NA NA
"turk_eq_s1034" 0.681150834947726 0.680508013692057 0.681794871794872 NA NA NA
"turk_eq_s1045" 0.636684801493461 0.633278245440029 0.640128205128205 NA NA NA
"turk_eq_s1048" 0.584980998348481 0.578187633288961 0.591935897435897 NA NA NA
"turk_eq_s1102" 0.546023483757917 0.524251616046853 0.569682051282051 NA NA NA
"turk_eq_s1104" 0.693005356273125 0.691912885783043 0.694101282051282 NA NA NA
"turk_eq_s1106" 0.776216730731219 0.774597934037819 0.777842307692308 NA NA NA
"turk_eq_s1107" 0.742170801435177 0.740480110264558 0.74386923076923 NA NA NA
"turk_eq_s1110" 0.67485875148603 0.670394036882368 0.679383333333333 NA NA NA
"turk_eq_s1114" 0.653213881102378 0.652603264910213 0.653825641025641 NA NA NA
"turk_eq_s1115" 0.669797271007473 0.667582365100045 0.672026923076923 NA NA NA
"turk_eq_s1116" 0.69830501546556 0.695755704516906 0.700873076923077 NA NA NA
"turk_eq_s1118" 0.67235912132334 0.669622749716748 0.675117948717949 NA NA NA
"turk_eq_s1119" 0.590789213487173 0.589814984008045 0.591766666666667 NA NA NA
"turk_eq_s1121" 0.532082818814993 0.525972114533086 0.53833717948718 NA NA NA
"turk_eq_s1122" 0.683160218872996 0.682047153536515 0.684276923076923 NA NA NA
"turk_eq_s1123" 0.513478469880049 0.511393245310515 0.515580769230769 NA NA NA
"turk_eq_s1124" 0.658680149199523 0.658203297526279 0.659157692307692 NA NA NA
"turk_eq_s1127" 0.595869100771425 0.594598769372176 0.597144871794872 NA NA NA
"turk_ga" 0.660867401682554 0.633987673025479 0.69012733247462 NA NA NA
"turk_ga_s1002" 0.725087271405255 0.70731483597425 0.74377584908045 NA NA NA
"turk_ga_s1025" 0.612281302226909 0.591415287656218 0.634673532269612 NA NA NA
"turk_ga_s1028" 0.707414018887276 0.691574972114332 0.723995590641554 NA NA NA
"turk_ga_s1034" 0.70832996762297 0.691076951698798 0.72646649789763 NA NA NA
"turk_ga_s1045" 0.707553757143578 0.705647708756987 0.70947013039981 NA NA NA
"turk_ga_s1048" 0.753728209685414 0.73000280692204 0.77904758879001 NA NA NA
"turk_ga_s1102" 0.653947623277653 0.649846558199616 0.658100779264425 NA NA NA
"turk_ga_s1104" 0.735453335055287 0.710452954945107 0.762277383289564 NA NA NA
"turk_ga_s1106" 0.763244084883136 0.750820722365762 0.776085487725762 NA NA NA
"turk_ga_s1107" 0.710473129601088 0.707957205899651 0.713006999153528 NA NA NA
"turk_ga_s1110" 0.727947906241468 0.697861713301794 0.760745126998131 NA NA NA
"turk_ga_s1114" 0.763032210832797 0.740165689286047 0.787356639571315 NA NA NA
"turk_ga_s1115" 0.700231874488418 0.666706841764946 0.73730700231273 NA NA NA
"turk_ga_s1116" 0.745644138093324 0.742092623620301 0.749229809784938 NA NA NA
"turk_ga_s1118" 0.673498016079921 0.658888791604648 0.688769777288184 NA NA NA
"turk_ga_s1119" 0.71988842532959 0.682047914633009 0.762174411942866 NA NA NA
"turk_ga_s1121" 0.712244495072643 0.666983347489989 0.76409563246362 NA NA NA
"turk_ga_s1127" 0.736214730408321 0.702103587574674 0.773809655355308 NA NA NA
"turk_s1028" 0.697120968052443 0.681925997035957 0.713008533639096 0.489750539358273 0.422332893411554 0.582780716845765
"turk_s1034" 0.673898410833082 0.656237108686609 0.692536641921473 0.527865711728832 0.453800432619018 0.630823051628493
"turk_s1045" 0.695671893247203 0.695088333094561 0.69625643407691 NA NA NA
"turk_s1048" 0.704499815135676 0.685067735075372 0.725066467037572 0.579283079359912 0.560044867726356 0.599890019660869
"turk_s1102" 0.556342764936278 0.552624298971406 0.560111611087698 0.457774101109533 0.419547555999190 0.50366489082925
"turk_s1104" 0.755585888916841 0.736273603955307 0.775938576869597 0.589546873291434 0.50826965422783 0.701766028533237
"turk_s1106" 0.702901430676331 0.699858209912643 0.705971232936573 NA NA NA
"turk_s1107" 0.6920771630036 0.691379024307456 0.692776713053813 NA NA NA
"turk_s1110" 0.662326170193635 0.629879948525179 0.698296656573753 0.452205995388163 0.405446087884134 0.511157557153687
