"PHON" "F1" "F2" "F3" "T1" "T2" "v" "v.1" "v.2"
"ee" 506.632624498301 2049.81605047514 2749.71678817696 0 0 1 0 0
"ee" 403.879884462864 2243.69525909975 2837.16007731133 0 0 1 0 0
"iy" 506.139058800451 1775.04849740474 2653.30363988789 0 0 1 0 0
"iy" 437.386153340909 2313.69509344727 2975.45886682649 0 0 1 0 0
"ue" 484.768740495605 1619.09882000516 3031.72092573981 0 1 1 0 0
"iy" 453.236398235012 2088.28093774175 2832.29066780812 1 0 1 0 0
"ue" 276.322079245002 2052.46019042578 2704.49736433128 0 0 1 0 0
"ee" 478.253657321956 2100.14398447055 2911.48797812896 0 0 1 0 0
"iy" 362.909262588928 2719.38500262319 3173.0392790936 0 0 1 0 0
"ue" 383.417493863185 1911.23154083117 3291.39728991433 0 0 1 0 0
"iy" 402.46292377085 1901.90248141668 2949.39497547127 0 0 1 0 0
"iy" 455.12440955663 2432.47763185323 3017.74160505998 0 0 1 0 0
"ee" 536.179662376042 1710.15526520275 2622.05282464772 0 0 1 0 0
"ee" 471.39741333636 2307.61504023352 3030.82698387834 0 0 1 0 0
"iy" 381.019366791714 2593.75397304008 3075.40903972049 0 0 1 0 0
"iy" 383.226251046087 2038.01155931207 2898.33147336162 0 0 1 0 0
"iy" 315.913886767115 2654.61397058583 3252.22597540178 0 0 1 0 0
"iy" 347.897397802498 2620.93255384771 3181.03106647808 0 0 1 0 0
"ue" 475.967951312126 1715.2991811411 2756.03450613948 0 0 1 0 0
"oe" 548.44420063832 1646.55974840578 2825.55494381317 0 1 1 0 0
"ee" 567.387275101618 2152.39035349988 2669.77573136336 0 0 1 0 0
"ee" 535.337347521332 2173.59063030931 2887.49405650705 0 0 1 0 0
"ee" 529.41684567705 1985.63174980136 2788.88532140411 0 0 1 0 0
"ee" 478.761683652006 1935.10520025926 2884.97269482011 0 0 1 0 0
"iy" 463.408946799463 2099.63279015529 2992.64991006306 0 0 1 0 0
"iy" 345.932996993837 2402.78060092302 3251.72921011709 0 0 1 0 0
"iy" 379.681505845085 2218.98940795859 2820.23314519937 0 0 1 0 0
"ee" 509.731823258062 2332.74100813678 3099.10030150576 0 0 1 0 0
"ee" 459.830534169029 2567.54172661127 3081.86928293397 0 0 1 0 0
"iy" 332.112113358225 2806.50968707083 3091.09522950739 0 0 1 0 0
"iy" 323.510311456736 2001.93787215496 2998.55646319185 0 0 1 0 0
"iy" 323.72559538744 2302.9932361771 3083.19836286838 0 0 1 0 0
"ee" 454.79189730327 2050.52463115311 2800.08404197898 0 0 1 0 0
"oe" 367.552900311791 1794.70352237116 2682.07339222825 0 0 1 0 0
"iy" 344.243536881041 2533.02613818024 3167.52333971204 0 0 1 0 0
"iy" 420.662271098686 2628.10962110855 2987.97684505067 0 1 1 0 0
"iy" 391.765262533022 2152.72084276534 2718.11620056155 0 0 1 0 0
"ee" 526.718854749705 2220.89405838216 2840.05322333273 0 0 1 0 0
"ee" 452.474920288145 2410.61839967344 3154.14411078204 0 0 1 0 0
"iy" 320.173135117562 2126.46872065395 2973.54850307711 0 0 1 0 0
"ee" 419.857992497116 2160.87690321958 2926.87081279189 0 0 1 0 0
"ee" 543.027875470595 2200.40070063874 2852.45720146887 0 0 1 0 0
"iy" 303.333459784387 2556.98546560929 3217.36581813852 0 0 1 0 0
"ee" 551.739655041839 1874.77670126696 3027.83588486401 0 0 1 0 0
"iy" 446.702678974104 2198.77504025031 3181.22131903994 0 0 1 0 0
"iy" 372.35484421465 2283.77061166594 2872.16927599265 1 0 1 0 0
"iy" 381.075069683518 2542.55258765758 3139.53965325964 0 0 1 0 0
"iy" 340.190997440068 2527.29993715409 2915.78320980591 0 0 1 0 0
"oe" 599.056613821327 1497.44261303404 2739.44917197719 0 0 1 0 0
"ee" 550.782909807819 2203.14383412305 2955.68435629698 0 0 1 0 0
"iy" 373.969477307079 2279.72267073653 2831.90841791711 0 0 1 0 0
"iy" 397.638592895477 2363.80922337084 3102.36574594258 0 0 1 0 0
"iy" 405.062714502049 2094.39166527092 3070.2780697303 0 0 1 0 0
"ee" 470.277989665702 2175.24643274168 2987.17185104656 1 0 1 0 0
"ee" 389.607019142618 2177.86363071068 2882.74191098516 0 0 1 0 0
"iy" 351.598768146607 2657.52965311053 3028.11620013693 0 0 1 0 0
"iy" 426.427299018619 2354.09061625205 3095.11108743064 0 0 1 0 0
"iy" 464.027822922283 2164.69894405307 2978.72203138354 0 1 1 0 0
"oe" 481.549318677012 1547.80832751722 2783.71614478058 0 0 1 0 0
"oe" 541.276510521941 1351.09922903793 2678.37930853117 0 0 1 0 0
"ue" 300.2543773712 2208.6060691766 2949.98591056997 0 0 1 0 0
"ue" 290.368491478066 1957.71997437422 3034.27104696414 0 1 1 0 0
"ee" 441.253430832203 1963.51048097 2760.09054728274 0 0 1 0 0
"iy" 443.30363598409 2261.90267333691 2902.85103591979 1 0 1 0 0
"ue" 292.874929038664 2178.49680517693 3049.04745566612 0 0 1 0 0
"ue" 313.30036212763 1920.79724721709 2755.65287134412 0 0 1 0 0
"ee" 590.524282910068 2092.59100873063 2869.87423168436 0 0 1 0 0
"iy" 434.261117996091 2490.84837605148 3160.40685937131 0 0 1 0 0
"iy" 452.553568618342 2385.14492049415 2927.28420123413 0 0 1 0 0
"iy" 307.924252038112 2591.77873694432 3210.35194910118 0 0 1 0 0
"iy" 354.51922693009 2475.59120399865 2874.96483758418 0 0 1 0 0
"iy" 344.639852572972 1943.96822162384 2757.1433419257 0 0 1 0 0
"iy" 294.005755368111 2322.26400308032 3020.57099308755 0 0 1 0 0
"ee" 505.550936932858 2182.58366991377 3136.02057768608 0 0 1 0 0
"iy" 328.006534177231 2549.46766520242 2988.61667882102 0 0 1 0 0
"iy" 381.842076748704 2019.77487122337 2754.22806154382 0 0 1 0 0
"ee" 503.80210123243 2276.19459626485 2888.54591020326 0 0 1 0 0
"ue" 435.689949597494 1674.40136262564 2694.87882184716 0 0 1 0 0
"ue" 444.082622103571 1506.63062002064 2706.07923951265 0 0 1 0 0
"ee" 468.365430285312 1964.82549569089 3008.19304786781 0 0 1 0 0
"iy" 304.147230159141 2670.75137806407 3180.14445213219 0 0 1 0 0
"iy" 317.642384136894 2304.27616826898 2948.01349084657 0 0 1 0 0
"ee" 568.940321338512 2285.128125373 2954.12980430758 0 0 1 0 0
"iy" 333.680315994534 2238.10924351555 3001.80150848918 0 0 1 0 0
"oe" 406.791706241597 1679.14887559156 2638.16632905302 1 0 1 0 0
