"PHON","F1","F2","F3","T1","T2","v","v.1","v.2","v.3","v.4","v.5","v.6","v.7","v.8","v.9","v.10","v.11","v.12","v.13","v.14","v.15","v.16","v.17","v.18"
"iy",447.436879361181,2203.03777471363,3134.04629990523,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"iy",399.693123358165,2455.32563548353,3281.02460836795,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"iy",421.024732213505,2269.51801333008,2974.52971827975,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"oe",609.115029838476,1630.57013183384,3025.07218740415,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ee",509.589319337292,2652.64078324624,3254.54944318798,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"iy",430.897068887259,2749.30180937984,3293.71993804808,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"iy",505.522430677253,1786.67505793338,2782.44249907481,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"oe",606.683130314345,1597.14670449873,2766.02870768098,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ee",801.65126160435,1639.0955757464,2830.74961941545,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ee",473.972511449642,2111.52474722473,3004.37292915982,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ee",459.396354135701,2367.7424037576,3100.69071634205,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"oe",520.161413504443,2054.15305423528,2724.39477546627,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ee",589.261286952923,2156.86078454136,3107.42589223882,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"oe",533.973672404273,1729.10819675536,2742.23424561275,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ee",534.517097429995,2248.06181330526,2985.30033887628,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ee",827.027678303255,1698.26453448192,2776.1220465145,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ee",542.556279796489,2132.85292219626,2951.38110380601,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ee",823.98239818277,1687.7596332778,2817.72163659132,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ee",824.877997961905,1871.80934026206,2959.53675987993,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"iy",452.596129814199,2568.20097796746,3173.58447769281,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"iy",460.676929299127,2528.4734822735,3144.90400922952,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ee",553.147283095345,2154.66774495325,2967.30464918149,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"oe",526.698975060441,1617.16567568435,2631.92278434518,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ee",802.505145626043,1702.21718042846,2799.59851266647,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ee",452.075582892639,2243.18012978705,3020.13166905832,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ee",953.58400566376,1747.94964117995,3072.21074742849,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"iy",467.986309063552,2189.48600451409,3145.33188991365,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ue",455.952701916642,2086.67163018217,3027.70942758591,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"iy",452.471459039723,2442.81245821874,3203.27467000018,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ee",500.061211965275,2226.41665144411,3124.94497638888,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ee",555.314261182796,2457.89503385483,3057.0462630928,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"oe",515.898171173769,2042.33827713071,2605.93720391053,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ue",352.228158046357,2153.54627527968,2937.11062957214,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ee",523.671744855533,2274.98826279617,3109.08363725927,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"iy",505.769228002399,2301.85359881182,2993.02025917107,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ee",545.504506622045,2380.67066399053,3174.93347690813,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ee",836.535557813248,1719.61928794035,2784.97597644785,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"iy",563.61782063954,1947.39170615568,2930.06024649909,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"iy",319.263414871856,2113.9153270293,2966.79252277583,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ee",529.368319372997,2216.02713304547,3101.54860252566,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"iy",451.995622302849,2676.15989893714,3330.57924922539,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"iy",336.889227823915,2116.41439706759,2954.39943338286,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ee",443.322187823885,2411.00503683353,3105.72467743965,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"iy",450.920682229672,2335.71750499513,3098.4975173833,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ee",503.820138064341,2241.05754306895,3048.80202307602,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"iy",402.740536087997,2133.33927462025,2988.47562002073,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"iy",544.405972144743,2144.73656893676,3034.24508892407,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ee",568.56878374093,2096.86727707245,3082.7189437153,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"iy",382.458997945019,2584.06951279502,3235.31725972015,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ee",899.522041744382,1748.21726225413,3098.82872877955,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ue",459.355944814958,2035.00969419184,2750.29866968913,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ue",435.998471600266,2005.11142360876,2791.69948172862,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ue",540.724192628852,1745.34259021126,2920.78568014946,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"oe",587.058467942592,1750.3453103712,2887.71782814605,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ee",470.888257128952,2368.23325541672,3036.69441573846,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"iy",512.068836475507,2110.80718868412,2908.53247240477,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"iy",413.255263937313,2517.24494230719,3145.4105347895,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"iy",381.878902204887,2644.24461888995,3166.82737494856,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"iy",415.937170711745,2230.60980694051,2851.87930052573,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"iy",576.677807226869,2116.64360159981,3091.20232640851,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"iy",412.525997927449,2367.03769548025,3276.53016197603,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ee",459.098160301584,2139.96577061517,3021.5123661968,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"iy",386.167128520543,2398.97541155538,3180.78086034762,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"iy",417.45320236666,2102.80022326355,3009.14108079316,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ue",420.419493890374,2309.66784643728,3208.59871409174,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ee",635.863490356012,2075.41130204543,3090.1170063056,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"iy",423.232788091369,2592.74450678845,3163.39924250324,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ee",512.789186034724,2343.00845553825,3021.29605085986,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ee",447.36461727694,2091.8815799846,3044.89905470254,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ee",611.278213522767,2117.17951998468,3045.12197996441,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"iy",450.576453421115,2569.48668750935,3039.37287098082,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"iy",403.321763699098,2387.71647261399,3176.91259680006,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ee",535.757297549898,2438.20148289357,3243.94250865836,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"iy",518.8209238835,2446.62120746767,3158.38626635679,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ee",686.361976380549,1871.41682817942,3200.69464995515,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"oe",518.846076510909,1515.09211789073,2650.61885077661,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ee",569.033166569862,1665.64992132778,2907.84435478919,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"iy",537.392563345101,2623.78025685769,3075.4552891685,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ee",555.510133515428,2068.29477045565,2979.60792898917,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"iy",336.374998476909,2784.84712939305,3447.42645526901,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ee",552.394072010788,2335.19142552462,3118.27562937605,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ue",270.27154635803,2068.32598548689,3155.94077314237,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ee",516.001680079121,2343.61133112334,3106.40671825979,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"iy",392.265224589962,2225.40178263975,3161.38890672305,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ee",504.621225502243,2207.67093409208,3104.67743561989,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"iy",460.232029858024,2100.70433049438,2963.55793280148,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ee",582.467497103401,2322.14028766939,3005.88572713147,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"oe",510.710859140387,1859.98689756058,2793.98364650532,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ee",483.456305458026,2160.06438613836,3132.59014279385,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ee",606.578392628894,2168.40093216004,3231.50165196403,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ee",525.689559809691,2317.38303725385,2955.93639733268,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"oe",515.780906775974,2084.23150291782,2933.79369325458,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ue",520.19450750101,1995.77761747757,2887.27553769856,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"iy",418.226807508067,2477.55810458669,3259.32839702739,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ee",508.823010234685,2354.19643404681,3035.35591346175,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ee",556.011537746543,2167.60249320691,3043.91519431766,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ee",547.670682947262,2316.71318027517,2946.61749202569,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ee",535.798743990087,2224.55779112516,3023.50636473079,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"iy",411.328837730885,2462.8001647763,3173.80540207789,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"oe",524.594480373526,1807.83428038259,2870.88814999494,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"iy",430.441252786658,2452.66525872686,3266.77895641077,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ee",607.659156714138,2186.15565453723,3133.6618719224,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ee",784.934217382882,1699.33150825261,2634.50965415512,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ee",451.932039648987,2247.49043797008,2966.32718874403,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"iy",504.122491981415,2184.4980002464,3005.89216576536,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ue",401.005652821415,2398.00084417873,2786.26432213752,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"iy",371.327260788116,2522.71644531238,3364.62076048451,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ee",586.358013748662,2117.75131190614,3172.81380236666,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"iy",452.013915564102,2410.76414884837,3231.35915932118,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"iy",391.381713035635,2790.04315937878,3048.41342148637,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"iy",578.769087090872,2043.88711749293,2939.28529159205,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ee",634.907174643328,1813.9719505959,3140.19052755156,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"iy",522.031181937133,2204.54423602097,2835.77742261682,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"iy",493.926299171978,2276.72081187085,3039.52422661069,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"oe",479.394588945088,1759.89117975434,2650.02753265206,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ue",438.633907100771,1885.58838524507,2536.95687229651,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"iy",417.407479332192,2139.36361147127,3090.53798295691,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ue",449.464763744596,2097.10355163637,2737.45381366993,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ee",683.619900774881,1790.34289264538,3194.34082222482,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"oe",555.641152893405,1900.72604534308,3030.67444675002,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ee",834.432294185952,1707.77565687428,2678.23761863528,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"iy",543.087860512945,1778.72166097227,2848.91835276322,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"iy",363.625614504485,2622.1289270055,3581.61120044581,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ee",494.785431636105,2166.47604376642,3092.01018972931,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"iy",407.627550062201,2383.07957344942,2857.22895715376,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ee",464.611358442085,2366.2839507493,2863.48872499012,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"oe",590.861576292537,1510.07488996007,2837.58446498171,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ee",539.018123322567,2026.81989242625,3072.9937970546,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"iy",401.261397510669,2772.06971588667,3251.40733202924,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"iy",454.451917679463,2050.47427215956,2762.22449927863,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"iy",370.073597422176,2695.96786033924,3224.08171121602,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ee",586.714061401063,2240.16001208554,3220.6949789582,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"oe",656.844601239602,1621.04371166312,2831.23350871638,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ee",443.002062201346,2392.41925353356,3100.89870018097,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ee",428.128730891617,2491.69278542487,3077.90774082138,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"iy",452.371369355706,2678.00143094896,3266.64987354413,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"oe",508.708733406799,1717.42905621556,2782.57879948972,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ee",863.411434545062,1817.05445526582,3105.42996681199,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"oe",591.900979546152,1778.01048108742,2751.34205120468,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ee",891.465058565357,1725.29154049575,3191.47262484366,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
